Name,Discipline,COSPAR ID,Launch Mass,Onboard Power,Launch Date,Launch Vehicle,Launch Site,Periapsis,Apoapsis,Period,Inclination,Longitude,Eccentricity
IRNSS-1G,	Navigation/Global Positioning[313],2016-027A,"1,425 kg (3,142 lb)[314]",1660 W[315],"28 April 2016, 12:59 IST[316]",PSLV-C33[317]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,778.6 km (22,231.8 mi)[318]","35,808.7 km (22,250.5 mi)[318]",1436.1 mins[318],4.2[318],129 E[318],
Cartosat-2C,	Earth Sciences[319],2016-040A,"737.5 kg (1,626 lb)[320]",986 W[320],"22 June 2016, 9:26:00 IST[321]",PSLV-C34[322]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",504.7 km (313.6 mi)[323],526.1 km (326.9 mi)[323],94.8 mins[323],97.5[323],,
SathyabamaSat,	Technology Applications[324],2016-040B,1.5 kg (3.3 lb)[324],,,,,499.2 km (310.2 mi)[325],521.8 km (324.2 mi)[325],94.7 mins[325],97.5[325],,
Swayam-1,"	Communications
		Technology Applications[326]",2016-040J,1 kg (2.2 lb)[327],,,,,499.7 km (310.5 mi)[328],521.5 km (324.0 mi)[328],94.7 mins[328],97.5[328],,
INSAT-3DR,	Earth Sciences[330],2016-054A,"2,211 kg (4,874 lb)[330]",1700 W[331],"8 September 2016, 16:40:00 IST[332]",GSLV-F05[333]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,767.2 km (22,224.7 mi)[334]","35,820.6 km (22,257.9 mi)[334]",1436.1 mins[334],0.0[334],74.0 E[334],
Pratham,	Technology Applications[335],2016-059A,10 kg (22 lb)[335],,"26 September 2016, 9:12:00 IST[336]",PSLV-C35[337]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",666.8 km (414.3 mi)[338],715.6 km (444.7 mi)[338],98.4 mins[338],98.2[338],,
PISat,	Technology Applications[339],2016-059B,5.25 kg (11.6 lb)[339],,,,,666.6 km (414.2 mi)[340],713.2 km (443.2 mi)[340],98.4 mins[340],98.2[340],,
ScatSat-1,	Earth Sciences[341],2016-059H,377 kg (831 lb)[341],,,,,723.6 km (449.6 mi)[342],741.2 km (460.6 mi)[342],99.3 mins[342],98.1[342],,
GSAT-18,	Communications[343],2016-060A,"3,425 kg (7,551 lb)[343]",6474 W[344],"6 October 2016, 2:00:00 IST[345]",Ariane-5 ECA," Centre Spatial Guyanais, Kourou","35,760.2 km (22,220.4 mi)[347]","35,827.7 km (22,262.3 mi)[347]",1436.1 mins[347],0.1[347],74.0 E[347],
ResourceSat-2A,	Earth Sciences[348],2016-074A,"1,235 kg (2,723 lb)[348]",,"7 December 2016, 10:24:00 IST[349]",PSLV-C36[350]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",826.3 km (513.4 mi)[351],827.6 km (514.2 mi)[351],101.3 mins[351],98.7[351],,
CartoSat-2D,	Earth Sciences[352],2017-008A,"714 kg (1,574 lb)[353]",,"15 February 2017, 9:28:00 IST[354]",PSLV-C37[355]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",510.9 km (317.5 mi)[356],519.9 km (323.1 mi)[356],94.8 mins[356],97.5[356],,
"INS-1A[357]
(ISRO Nano-Satellite 1A)[358]",	Technology Applications[358],2017-008B,8.4 kg (19 lb)[359],,,,,500.8 km (311.2 mi)[360],515.4 km (320.3 mi)[360],94.6 mins[360],97.5[360],,
"INS-1B[357]
(ISRO Nano-Satellite 1B)[361]",	Technology Applications[361],2017-008G,9.7 kg (21 lb)[362],,,,,500.7 km (311.1 mi)[363],514.8 km (319.9 mi)[363],94.6 mins[363],97.5[363],,
South Asia Satellite (GSAT-9),	Communications[364],2017-024A,"2,230 kg (4,920 lb)[364]",3500 W[365],"5 May 2017, 16:57:00 IST[366]",GSLV Mk.II[367]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,782.2 km (22,234.0 mi)[368]","35,805.8 km (22,248.7 mi)[368]",1436.1 mins[368],0.1[368],97.5 E[368],
"GSAT-19
(GSAT-19E)",	Communications[369],2017-031A,"3,136 kg (6,914 lb)[370]",4500 W[371],"5 June 2017, 5:28:00 IST[372]",GSLV Mk.III-D1[373]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,781.1 km (22,233.3 mi)[374]","35,806.7 km (22,249.3 mi)[374]",1436.1 mins[374],0.1[374],82.5 E[374],
NIUSat[375],	Technology Applications[376],2017-036B,15 kg (33 lb)[376],40 W[377],"23 June 2017, 9:29:00 IST[378]",PSLV-C38[379]," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",502.5 km (312.2 mi)[380],526.7 km (327.3 mi)[380],94.8 mins[380],97.4[380],,
CartoSat-2E,	Earth Sciences[381],2017-036C,"712 kg (1,570 lb)[381]",986 W[377],,,,508.4 km (315.9 mi)[382],522.2 km (324.5 mi)[382],94.8 mins[382],97.4[382],,
GSAT-17,	Communications[383],2017-040B,"3,477 kg (7,665 lb)[384]",6200 W[385],"29 June 2017, 2:45:00 IST[386]",Ariane-5 ECA," Centre Spatial Guyanais, Kourou","35,771 km (22,227 mi)[387]","35,817 km (22,256 mi)[387]",1436.1 mins[387],0.1[387],93.5 E[387],
